point,x,y,
1,27.16372131,37.67032475,
2,29.04798631,69.35913629,
3,33.00507836,28.01749372,
4,42.24118542,76.09773567,
5,80.42895462,209.7258466,
6,35.73060834,61.90628104,
7,58.25464133,32.19660703,
8,55.54130161,63.48530046,
9,35.80707617,45.54378754,
10,35.29565208,4.932190232,
11,37.09279466,47.23555997,
12,22.66928116,29.25831066,
13,36.64116843,88.09592076,
14,35.72876932,99.42764638,
15,30.74163751,57.05515893,
16,45.59050052,145.9769346,
17,29.47034261,21.57342274,
18,64.42640652,93.51330021,
19,33.23709222,72.4605956,
20,33.9564404,-29.77112708,
21,34.38954265,27.72493452,
22,65.25195147,163.5979522,
23,65.52140846,101.8194495,
24,28.80637214,33.63475856,
25,48.57930353,102.0469283,
26,47.0950462,72.91773762,
27,50.80385126,46.42907037,
28,89.82050671,118.1170992,
29,42.18296425,75.96212918,
30,33.04999827,41.46192627,
31,37.8872262,149.9618887,
32,67.05554938,52.81831758,
33,42.0461009,61.16707645,
34,41.65570741,111.901214,
35,38.52351667,108.0967913,
36,43.0596843,92.54824946,
37,31.85760144,50.2434022,
38,37.15403397,177.4103721,
39,38.03127909,95.13937531,
40,42.21613598,53.61274414,
41,67.77250585,110.3207814,
42,64.58182812,205.1657921,
43,45.03225833,89.27746038,
44,46.04518252,76.49979874,
45,37.13689824,67.75652034,
46,56.3059796,68.42304777,
47,69.09351552,130.5437365,
48,38.45542687,56.28138571,
49,36.06559682,20.20136941,
50,42.76323677,167.1472961,
51,46.65325687,137.0157498,
52,38.91538478,68.16348817,
53,41.99385491,68.50295707,
54,35.82356129,64.2707478,
55,34.03867895,77.42534733,
56,28.34446601,7.00035683,
57,37.47888254,1.373003513,
58,55.3799395,104.2719342,
59,87.87282976,139.7887518,
60,42.15604924,17.65459438,
61,34.01839074,34.75312942,
62,42.82029835,62.38193228,
63,30.87020181,84.35150981,
64,25.07236405,46.83800053,
65,31.89825622,58.74035929,
66,71.639539,105.4647161,
67,40.4538604,-5.636551531,
68,28.92414736,71.29764409,
69,43.26039633,26.2911912,
70,22.39083717,46.52335703,
71,38.94072455,57.56705436,
72,43.04619166,79.45189465,
73,48.16479931,110.5377164,
74,39.02855638,65.44876075,
75,79.69330236,71.39101979,
76,31.60729351,156.4394344,
77,35.53019828,46.98881379,
78,22.12845695,53.25461378,
79,55.04060508,128.5920973,
80,43.65207515,98.87384693,
81,49.07135869,81.80647381,
82,33.6191137,50.98983183,
83,37.88491073,73.39215206,
84,23.62880262,26.69752705,
85,59.21027874,111.8535634,
86,44.96411003,72.07826621,
87,27.2496495,31.89251261,
88,57.7305195,71.14521697,
89,23.41600312,61.16578969,
90,45.84512143,50.84339793,
91,28.08099373,6.875146474,
92,54.65691829,60.90320081,
93,31.69566758,47.04676821,
94,49.7890727,25.32407287,
95,33.70233196,-18.17744515,
96,46.40017757,155.8952537,
97,29.7890998,44.34985681,
98,28.24204198,64.89345515,
99,28.20233378,46.85628302,
100,44.75152487,36.93834884,
101,44.06754348,85.63425731,
102,58.37067223,106.587444,
103,24.68001364,85.22311594,
104,35.1541701,75.56012214,
105,32.53059479,78.95084247,
106,71.08982106,168.4801789,
107,31.17589734,21.95576781,
108,34.57485836,61.57336881,
109,33.57683628,44.25663838,
110,77.03015887,62.55317183,
111,115.504692,175.0948804,
112,26.16706168,51.42940757,
113,37.04295576,66.96472622,
114,100.2059991,82.37008325,
115,28.93457773,39.08279915,
116,39.80032218,63.114501,
